tanggal,p,diameter
2025-08-06,P1,7.734999999999999
2025-08-06,P2,12.23
2025-08-06,P3,8.36
2025-08-06,P4,10.1
2025-08-06,P5,9.535
2025-08-06,P6,9.285
2025-08-07,P1,15.205000000000002
2025-08-07,P2,22.009999999999998
2025-08-07,P3,9.184999999999999
2025-08-07,P4,10.435
2025-08-07,P5,11.145
2025-08-07,P6,13.34
2025-08-08,P1,19.860000000000003
2025-08-08,P2,27.055
2025-08-08,P3,13.420000000000002
2025-08-08,P4,16.895
2025-08-08,P5,14.684999999999999
2025-08-08,P6,16.354999999999997
2025-08-09,P1,30.994999999999997
2025-08-09,P2,39.7
2025-08-09,P3,18.285
2025-08-09,P4,22.625
2025-08-09,P5,22.725
2025-08-09,P6,22.955000000000002
2025-08-10,P1,40.495
2025-08-10,P2,50.029999999999994
2025-08-10,P3,25.235
2025-08-10,P4,27.659999999999997
2025-08-10,P5,28.544999999999998
2025-08-10,P6,30.445
2025-08-11,P1,47.105000000000004
2025-08-11,P2,56.025
2025-08-11,P3,24.740000000000002
2025-08-11,P4,31.45
2025-08-11,P5,34.5
2025-08-11,P6,33.470000000000006
2025-08-12,P1,54.035000000000004
2025-08-12,P2,64.385
2025-08-12,P3,28.309999999999995
2025-08-12,P4,36.18
2025-08-12,P5,40.06
2025-08-12,P6,38.269999999999996
